name,dataMethod,icon,status,logged,showInMenu,uri,parent,idRole
menu.administracion-child.adm_categoria,GET,,true,true,true,/administracion/categorias,6,1
menu.administracion-child.adm_general,GET,,true,true,true,/administracion/general,6,1
menu.administracion-child.configuracion,GET,,true,true,true,/administracion/configuracion,6,1
menu.administracion-child.geografia,GET,,true,true,true,/administracion/geografia,6,1
menu.administracion-child.rbac,GET,,true,true,true,/administracion/rbac,6,1
menu.administracion-child.respaldo,GET,,true,true,true,/administracion/respaldo,6,1
menu.administracion-child.temporal,GET,,true,true,true,/administracion/temporal,6,1
menu.gestion-child.agencias,GET,,true,true,true,/gestion/agencias,1,1
menu.gestion-child.alertas,GET,,true,true,true,/gestion/alertas,1,1
menu.gestion-child.entorno,GET,,true,true,true,/gestion/entornos,1,1
menu.gestion-child.eventos,GET,,true,true,true,/gestion/eventos,1,1
menu.gestion-child.inventario,GET,,false,true,true,/gestion/inventario,1,1
menu.gestion-child.ordenes,GET,,true,true,true,/gestion/ordenes,1,1
menu.gestion-child.personas,GET,,true,true,true,/gestion/personas,1,1
menu.gestion-child.productos_servicios,GET,,true,true,true,/gestion/productos_servicios,1,1
menu.informacion-child.estadistica,GET,,true,true,true,/informacion/estadistica,3,1
menu.informacion-child.indicadores,GET,,true,true,true,/informacion/indicadores,3,1
menu.monitores-child.agencias,GET,,true,true,true,/monitoreo/agencias,2,1
menu.monitores-child.alertas,GET,,true,true,true,/monitoreo/alertas,2,1
menu.monitores-child.entorno,GET,,true,true,true,/monitoreo/entornos,2,1
menu.monitores-child.eventos,GET,,true,true,true,/monitoreo/eventos,2,1
menu.monitores-child.inventario,GET,,true,true,true,/monitoreo/inventario,2,1
menu.monitores-child.ordenes,GET,,true,true,true,/monitoreo/ordenes,2,1
menu.monitores-child.personas,GET,,true,true,true,/monitoreo/personas,2,1
menu.monitores-child.productos_servicios,GET,,true,true,true,/monitoreo/productos_servicios,2,1
menu.mp-child.almacen,GET,,true,true,true,/mp/almacen,5,1
menu.mp-child.facturacion,GET,,true,true,true,/mp/facturacion,5,1
menu.mp-child.ordenes_trabajo,GET,,true,true,true,/mp/orden_trabajo,5,1
menu.mp-child.plan_mantenimiento,GET,,true,true,true,/mp/mantenimiento,5,1
menu.proceso-child.ejecucion_manual,GET,,true,true,true,/proceso/ejecucion_manual,4,1
